iter	Passed	Remaining
0	161	161810
1	179	89532
2	200	66706
3	215	53753
4	231	46125
5	250	41521
6	269	38185
7	281	34938
8	301	33213
9	317	31388
10	335	30178
11	351	28978
12	368	28004
13	382	26942
14	397	26116
15	419	25815
16	438	25344
17	453	24744
18	468	24173
19	481	23614
20	503	23468
21	527	23439
22	549	23322
23	570	23209
24	590	23026
25	610	22876
26	630	22732
27	649	22561
28	672	22520
29	694	22458
30	719	22484
31	741	22427
32	766	22461
33	789	22430
34	809	22314
35	830	22250
36	849	22097
37	868	21998
38	883	21781
39	895	21499
40	915	21420
41	936	21359
42	958	21329
43	979	21273
44	1000	21226
45	1022	21205
46	1046	21225
47	1067	21166
48	1088	21135
49	1108	21057
50	1126	20968
51	1149	20963
52	1179	21081
53	1205	21115
54	1230	21137
55	1256	21186
56	1280	21181
57	1301	21133
58	1324	21117
59	1341	21023
60	1365	21022
61	1382	20921
62	1400	20833
63	1414	20689
64	1430	20570
65	1448	20503
66	1469	20457
67	1487	20387
68	1505	20315
69	1519	20182
70	1537	20114
71	1554	20038
72	1584	20125
73	1614	20201
74	1630	20109
75	1655	20130
76	1675	20081
77	1698	20073
78	1714	19988
79	1733	19930
80	1750	19856
81	1761	19723
82	1784	19713
83	1795	19579
84	1814	19533
85	1828	19432
86	1847	19386
87	1870	19388
88	1893	19379
89	1908	19296
90	1927	19251
91	1944	19187
92	1959	19113
93	1978	19072
94	1991	18970
95	2010	18931
96	2026	18869
97	2042	18800
98	2057	18728
99	2075	18682
100	2092	18623
101	2110	18576
102	2121	18478
103	2142	18454
104	2160	18413
105	2179	18380
106	2195	18320
107	2218	18326
108	2237	18290
109	2251	18218
110	2267	18159
111	2280	18083
112	2296	18027
113	2311	17963
114	2326	17902
115	2344	17867
116	2360	17812
117	2375	17752
118	2391	17705
119	2407	17657
120	2424	17611
121	2441	17574
122	2456	17514
123	2471	17460
124	2487	17413
125	2502	17359
126	2519	17318
127	2536	17278
128	2551	17225
129	2572	17213
130	2583	17137
131	2599	17095
132	2614	17043
133	2631	17005
134	2647	16962
135	2660	16900
136	2670	16822
137	2685	16771
138	2698	16718
139	2715	16680
140	2730	16635
141	2744	16584
142	2761	16547
143	2777	16510
144	2794	16476
145	2808	16426
146	2823	16385
147	2838	16338
148	2857	16319
149	2868	16253
150	2886	16230
151	2898	16170
152	2918	16156
153	2934	16122
154	2955	16112
155	2970	16070
156	2990	16058
157	3008	16031
158	3026	16006
159	3038	15954
160	3053	15914
161	3067	15867
162	3081	15821
163	3091	15759
164	3110	15741
165	3125	15703
166	3139	15662
167	3152	15614
168	3168	15578
169	3180	15530
170	3197	15500
171	3210	15456
172	3224	15414
173	3239	15380
174	3253	15338
175	3265	15289
176	3278	15243
177	3289	15189
178	3302	15149
179	3317	15111
180	3333	15084
181	3347	15046
182	3362	15013
183	3376	14975
184	3392	14944
185	3403	14895
186	3420	14871
187	3433	14827
188	3446	14789
189	3460	14751
190	3474	14716
191	3485	14670
192	3500	14637
193	3510	14584
194	3527	14560
195	3543	14535
196	3562	14521
197	3574	14480
198	3586	14436
199	3600	14400
200	3612	14361
201	3627	14329
202	3638	14285
203	3658	14277
204	3670	14232
205	3680	14185
206	3694	14154
207	3706	14112
208	3720	14082
209	3735	14052
210	3753	14036
211	3769	14011
212	3785	13986
213	3798	13950
